,x,y,z,t,activity
404,0.39,-0.93,0.07,17000,Standing
405,0.37,-0.92,0.07,17041,Standing
406,0.39,-0.92,0.06,17082,Standing
407,0.38,-0.92,0.06,17123,Standing
408,0.41,-0.92,0.07,17164,Standing
409,0.39,-0.92,0.07,17205,Standing
410,0.39,-0.93,0.08,17246,Standing
411,0.4,-0.91,0.07,17287,Standing
412,0.41,-0.93,0.07,17328,Standing
413,0.39,-0.92,0.07,17369,Standing
414,0.41,-0.91,0.07,17410,Standing
415,0.39,-0.91,0.07,17451,Standing
416,0.41,-0.92,0.07,17491,Standing
417,0.4,-0.91,0.06,17532,Standing
418,0.4,-0.91,0.06,17573,Standing
419,0.42,-0.91,0.06,17614,Standing
420,0.4,-0.91,0.06,17655,Standing
421,0.42,-0.91,0.06,17696,Standing
422,0.39,-0.91,0.06,17737,Standing
423,0.41,-0.91,0.06,17778,Standing
424,0.4,-0.91,0.07,17820,Standing
425,0.4,-0.93,0.07,17861,Standing
426,0.43,-0.92,0.07,17902,Standing
427,0.39,-0.92,0.07,17943,Standing
428,0.42,-0.91,0.07,17983,Standing
429,0.4,-0.91,0.07,18024,Standing
430,0.4,-0.91,0.07,18064,Standing
431,0.41,-0.93,0.07,18105,Standing
432,0.4,-0.92,0.08,18146,Standing
433,0.39,-0.92,0.08,18187,Standing
434,0.39,-0.93,0.07,18228,Standing
435,0.4,-0.93,0.07,18269,Standing
436,0.4,-0.93,0.09,18310,Standing
437,0.37,-0.96,0.1,18351,Standing
438,0.42,-0.94,0.1,18392,Standing
439,0.42,-0.93,0.12,18433,Standing
440,0.39,-0.89,0.12,18473,Standing
441,0.39,-0.89,0.12,18514,Standing
442,0.4,-0.9,0.09,18555,Standing
443,0.42,-0.9,0.08,18596,Standing
444,0.43,-0.89,0.07,18637,Standing
445,0.42,-0.88,0.09,18678,Standing
446,0.4,-0.89,0.08,18719,Standing
447,0.42,-0.91,0.09,18760,Standing
448,0.41,-0.93,0.1,18801,Standing
449,0.42,-0.91,0.11,18842,Standing
450,0.39,-0.91,0.11,18883,Standing
451,0.37,-0.91,0.12,18924,Standing
452,0.38,-0.95,0.12,18965,Standing
453,0.37,-0.94,0.12,19006,Standing
454,0.37,-0.93,0.14,19047,Standing
455,0.36,-0.89,0.14,19088,Standing
456,0.36,-0.9,0.14,19129,Standing
457,0.37,-0.91,0.13,19170,Standing
458,0.39,-0.93,0.12,19211,Standing
459,0.39,-0.93,0.12,19251,Standing
460,0.39,-0.91,0.12,19292,Standing
461,0.4,-0.92,0.13,19333,Standing
462,0.39,-0.92,0.13,19374,Standing
463,0.41,-0.92,0.13,19415,Standing
464,0.4,-0.92,0.13,19456,Standing
465,0.4,-0.93,0.14,19496,Standing
466,0.38,-0.91,0.13,19537,Standing
467,0.38,-0.92,0.14,19578,Standing
468,0.39,-0.9,0.13,19619,Standing
469,0.38,-0.91,0.12,19660,Standing
470,0.39,-0.92,0.12,19701,Standing
471,0.4,-0.91,0.14,19741,Standing
472,0.37,-0.91,0.13,19782,Standing
473,0.39,-0.91,0.13,19823,Standing
474,0.39,-0.91,0.14,19863,Standing
475,0.39,-0.91,0.13,19904,Standing
476,0.39,-0.92,0.14,19945,Standing
477,0.4,-0.92,0.13,19986,Standing
478,0.39,-0.92,0.13,20028,Standing
479,0.39,-0.91,0.12,20069,Standing
480,0.39,-0.91,0.13,20110,Standing
481,0.39,-0.92,0.13,20151,Standing
482,0.4,-0.92,0.14,20192,Standing
483,0.39,-0.91,0.13,20233,Standing
484,0.4,-0.91,0.14,20274,Standing
485,0.4,-0.91,0.13,20315,Standing
486,0.39,-0.91,0.14,20356,Standing
487,0.39,-0.91,0.14,20397,Standing
488,0.39,-0.91,0.13,20438,Standing
489,0.4,-0.91,0.13,20478,Standing
490,0.4,-0.91,0.13,20519,Standing
491,0.39,-0.9,0.13,20560,Standing
492,0.39,-0.91,0.13,20601,Standing
493,0.4,-0.91,0.12,20642,Standing
494,0.39,-0.91,0.12,20683,Standing
495,0.39,-0.91,0.12,20724,Standing
496,0.39,-0.92,0.13,20765,Standing
497,0.41,-0.91,0.13,20806,Standing
498,0.4,-0.91,0.13,20847,Standing
499,0.42,-0.9,0.14,20888,Standing
500,0.41,-0.91,0.14,20929,Standing
501,0.4,-0.91,0.14,20970,Standing
502,0.41,-0.91,0.13,21011,Standing
503,0.42,-0.91,0.14,21052,Standing
504,0.41,-0.91,0.14,21093,Standing
505,0.41,-0.91,0.14,21134,Standing
506,0.42,-0.9,0.13,21176,Standing
507,0.41,-0.9,0.13,21217,Standing
508,0.41,-0.9,0.13,21258,Standing
509,0.42,-0.91,0.14,21299,Standing
510,0.42,-0.9,0.13,21340,Standing
511,0.43,-0.89,0.13,21381,Standing
512,0.42,-0.89,0.13,21422,Standing
513,0.42,-0.9,0.13,21463,Standing
514,0.43,-0.89,0.13,21504,Standing
515,0.41,-0.88,0.13,21544,Standing
516,0.42,-0.89,0.12,21585,Standing
517,0.42,-0.9,0.12,21626,Standing
518,0.41,-0.91,0.13,21667,Standing
519,0.43,-0.91,0.14,21708,Standing
520,0.42,-0.91,0.14,21749,Standing
521,0.41,-0.91,0.14,21790,Standing
522,0.42,-0.9,0.15,21831,Standing
523,0.41,-0.89,0.15,21872,Standing
524,0.42,-0.91,0.14,21913,Standing
525,0.42,-0.93,0.12,21954,Standing
526,0.43,-0.92,0.11,21995,Standing
527,0.39,-0.91,0.1,22036,Standing
528,0.39,-0.91,0.09,22077,Standing
529,0.38,-0.89,0.09,22117,Standing
530,0.38,-0.91,0.1,22158,Standing
531,0.39,-0.91,0.1,22198,Standing
532,0.39,-0.91,0.11,22238,Standing
533,0.39,-0.92,0.12,22279,Standing
534,0.4,-0.91,0.12,22320,Standing
535,0.39,-0.92,0.11,22361,Standing
536,0.39,-0.92,0.12,22402,Standing
537,0.39,-0.91,0.13,22443,Standing
538,0.39,-0.93,0.12,22483,Standing
539,0.39,-0.92,0.12,22523,Standing
540,0.39,-0.92,0.12,22564,Standing
541,0.38,-0.93,0.12,22605,Standing
542,0.39,-0.93,0.12,22646,Standing
543,0.38,-0.92,0.12,22687,Standing
544,0.39,-0.91,0.12,22728,Standing
545,0.39,-0.91,0.12,22769,Standing
546,0.39,-0.92,0.11,22810,Standing
547,0.39,-0.91,0.12,22850,Standing
548,0.37,-0.91,0.11,22891,Standing
549,0.38,-0.91,0.11,22932,Standing
550,0.38,-0.91,0.12,22973,Standing
551,0.37,-0.91,0.11,23014,Standing
552,0.39,-0.92,0.11,23055,Standing
553,0.4,-0.93,0.13,23095,Standing
554,0.41,-0.93,0.13,23136,Standing
555,0.39,-0.92,0.13,23177,Standing
556,0.37,-0.93,0.13,23218,Standing
557,0.37,-0.91,0.12,23259,Standing
558,0.37,-0.9,0.12,23300,Standing
559,0.37,-0.9,0.13,23341,Standing
560,0.37,-0.92,0.13,23383,Standing
561,0.37,-0.89,0.13,23424,Standing
562,0.36,-0.92,0.12,23464,Standing
563,0.37,-0.91,0.13,23505,Standing
564,0.37,-0.89,0.13,23546,Standing
565,0.39,-0.9,0.12,23587,Standing
566,0.39,-0.89,0.11,23628,Standing
567,0.41,-0.91,0.1,23669,Standing
568,0.41,-0.92,0.09,23710,Standing
569,0.41,-0.93,0.09,23750,Standing
570,0.43,-0.93,0.08,23791,Standing
571,0.43,-0.92,0.08,23832,Standing
572,0.42,-0.93,0.08,23873,Standing
573,0.44,-0.93,0.09,23914,Standing
574,0.43,-0.91,0.09,23955,Standing
575,0.41,-0.91,0.08,23996,Standing
576,0.43,-0.92,0.09,24037,Standing
577,0.43,-0.91,0.09,24078,Standing
578,0.43,-0.9,0.08,24119,Standing
579,0.45,-0.91,0.05,24160,Standing
580,0.46,-0.9,0.07,24201,Standing
581,0.39,-0.9,0.07,24242,Standing
582,0.41,-0.92,0.09,24283,Standing
583,0.35,-0.91,0.08,24324,Standing
584,0.39,-0.92,0.07,24365,Standing
585,0.38,-0.91,0.08,24406,Standing
586,0.37,-0.92,0.09,24446,Standing
587,0.39,-0.92,0.08,24488,Standing
588,0.41,-0.92,0.11,24529,Standing
589,0.36,-0.92,0.08,24570,Standing
590,0.39,-0.92,0.11,24611,Standing
